latitude,longitude,Store
39.0750010,-94.379703,Dunkin'
38.405691,-90.376802,McDonald's
38.4454942,-90.374454,McDonald's
38.437043,-90.377478,McDonald's
38.4183794,-90.390784,McDonald's
39.0359755,-94.271045,McDonald's
39.0280586,-94.271318,McDonald's
39.005697,-94.252933,McDonald's
39.0331358,-94.305986,McDonald's
39.0088689,-94.276729,McDonald's
36.64441310,-93.22273,McDonald's
36.64117611,-93.263875,McDonald's
36.66360912,-93.240089,McDonald's
36.68768313,-93.21818,McDonald's
37.31304914,-89.54475500000002,McDonald's
37.30270315,-89.583526,McDonald's
37.31203416,-89.545998,McDonald's
37.29893217,-89.574442,McDonald's
37.14013818,-94.319482,McDonald's
37.17872619,-94.324652,McDonald's
39.79355320,-93.551076,McDonald's
39.79522521,-93.588876,McDonald's
38.95490122,-92.296588,McDonald's
38.94518923,-92.327482,McDonald's
38.90955424,-92.332705,McDonald's
38.96325425,-92.289921,McDonald's
38.99274526,-92.324348,McDonald's
38.95920927,-92.381953,McDonald's
39.3387020000000128,-94.249017,McDonald's
39.33260129,-94.274632,McDonald's
37.77110930,-90.446821,McDonald's
37.78810531,-90.422852,McDonald's
37.79202532,-90.430435,McDonald's
38.20936933,-90.401843,McDonald's
38.21501834,-90.387496,McDonald's
38.21271535,-90.390964,McDonald's
38.90042336,-94.532318,McDonald's
38.8993437,-94.533001,McDonald's
39.06337438,-93.74083,McDonald's
39.00356139,-93.7351,McDonald's
39.07995340,-94.446526,McDonald's
39.1025141,-94.436803,McDonald's
39.07520742,-94.413669,McDonald's
39.0785343,-94.401387,McDonald's
39.04573844,-94.441074,McDonald's
39.07198145,-94.379692,McDonald's
39.04318946,-94.415641,McDonald's
39.03211247,-94.356519,McDonald's
39.05224748,-94.372511,McDonald's
39.04747249,-94.365653,McDonald's
39.11727750,-94.382659,McDonald's
38.5495351,-92.149665,McDonald's
38.5716352,-92.174964,McDonald's
38.57928853,-92.193426,McDonald's
38.55318654,-92.199536,McDonald's
38.58057955,-92.235171,McDonald's
38.57911456,-92.195151,McDonald's
38.58008657,-92.219292,McDonald's
38.55073358,-92.205236,McDonald's
37.08497559,-94.530685,McDonald's
37.11495660,-94.509544,McDonald's
37.09068561,-94.476993,McDonald's
37.07913662,-94.477335,McDonald's
37.11895963,-94.475985,McDonald's
37.06015764,-94.514191,McDonald's
37.07306365,-94.477141,McDonald's
37.05343766,-94.514813,McDonald's
37.05589867,-94.532755,McDonald's
37.06970568,-94.493611,McDonald's
39.10056369,-94.583561,McDonald's
39.08421370,-94.575255,McDonald's
39.06698871,-94.585132,McDonald's
39.05961572,-94.590454,McDonald's
39.04165673,-94.594315,McDonald's
38.98604674,-94.607744,McDonald's
38.94231675,-94.607303,McDonald's
38.97633776,-94.59536,McDonald's
39.16744877,-94.577468,McDonald's
39.14686878,-94.556367,McDonald's
39.173179,-94.535263,McDonald's
39.22855980,-94.576229,McDonald's
39.2084381,-94.548329,McDonald's
39.19995882,-94.50003,McDonald's
39.22765783,-94.545053,McDonald's
39.12975284,-94.503562,McDonald's
39.1050285,-94.519696,McDonald's
39.09549686,-94.551194,McDonald's
39.06922587,-94.520122,McDonald's
39.0312960000000188,-94.503578,McDonald's
39.01106589,-94.575159,McDonald's
38.9214900000000190,-94.584058,McDonald's
38.97599891,-94.555457,McDonald's
38.99723692,-94.478852,McDonald's
38.91730393,-94.537074,McDonald's
38.9536694,-94.525798,McDonald's
38.96664995,-94.498679,McDonald's
38.96567896,-94.428417,McDonald's
38.88623997,-94.607394,McDonald's
39.20995598,-94.642221,McDonald's
39.24566999,-94.659747,McDonald's
39.265413100,-94.576397,McDonald's
39.247114101,-94.58272,McDonald's
39.26794102,-94.451153,McDonald's
39.244029103,-94.462488,McDonald's
39.243107104,-94.459635,McDonald's
40.215056105,-92.582232,McDonald's
40.183588106,-92.572081,McDonald's
38.768727107,-90.782544,McDonald's
38.917781108,-94.361899,McDonald's
38.903604109,-94.338905,McDonald's
38.925345110,-94.399091,McDonald's
38.92126111,-94.359712,McDonald's
39.437961112,-92.445983,McDonald's
39.434248113,-92.433081,McDonald's
36.84171114,-94.39427,McDonald's
36.862898115,-94.382068,McDonald's
37.837335116,-94.358026,McDonald's
38.703508117,-90.667522,McDonald's
38.805288118,-90.769806,McDonald's
38.822025119,-90.700147,McDonald's
38.801726120,-90.699351,McDonald's
38.758881121,-90.700941,McDonald's
38.131001122,-92.671943,McDonald's
38.088544123,-92.690745,McDonald's
38.506475124,-90.678605,McDonald's
38.484178125,-90.759105,McDonald's
37.711603126,-89.89165,McDonald's
37.71137127,-89.890815,McDonald's
36.787173128,-90.430801,McDonald's
36.756026129,-90.408245,McDonald's
39.026518130,-94.442468,McDonald's
37.938696131,-91.77748,McDonald's
37.94442700000001132,-91.785588,McDonald's
38.708564133,-93.264932,McDonald's
38.672579134,-93.251594,McDonald's
38.709145135,-93.267354,McDonald's
36.89093136,-89.53609300000002,McDonald's
36.885019137,-89.559776,McDonald's
36.864246138,-89.582202,McDonald's
37.211708139,-93.349638,McDonald's
37.209263140,-93.228759,McDonald's
37.204126141,-93.261396,McDonald's
37.208365142,-93.27558,McDonald's
37.247765143,-93.31142,McDonald's
37.240512144,-93.303953,McDonald's
37.236674145,-93.260555,McDonald's
37.142661146,-93.256063,McDonald's
37.140109147,-93.277466,McDonald's
37.180644148,-93.246274,McDonald's
37.160002149,-93.266769,McDonald's
37.157648150,-93.227589,McDonald's
37.144143151,-93.25843,McDonald's
37.187148152,-93.258803,McDonald's
37.13867800000001153,-93.363248,McDonald's
37.160322154,-93.314572,McDonald's
37.139864155,-93.296952,McDonald's
37.18275156,-93.296782,McDonald's
37.180022157,-93.29694,McDonald's
38.77259158,-90.491389,McDonald's
38.819366159,-90.513964,McDonald's
38.788217160,-90.513649,McDonald's
38.779081161,-90.53006,McDonald's
38.746512162,-90.578506,McDonald's
38.739562163,-90.634475,McDonald's
38.360676164,-90.977549,McDonald's
39.734195165,-94.800489,McDonald's
39.724825166,-94.789852,McDonald's
39.714051167,-94.870889,McDonald's
39.71324600000001168,-94.872715,McDonald's
39.80195300000001169,-94.816057,McDonald's
39.779157170,-94.802583,McDonald's
39.771327171,-94.802982,McDonald's
39.754066172,-94.769145,McDonald's
38.636526173,-90.195157,McDonald's
38.628171174,-90.191537,McDonald's
38.612601175,-90.221926,McDonald's
38.639077176,-90.243727,McDonald's
38.586273177,-90.275726,McDonald's
38.593036178,-90.293683,McDonald's
38.575246179,-90.233347,McDonald's
38.676332180,-90.250613,McDonald's
38.564766181,-90.293637,McDonald's
38.58915182,-90.244496,McDonald's
38.624505183,-90.287486,McDonald's
38.773054184,-90.581873,McDonald's
38.787619185,-90.66165,McDonald's
38.79172186,-90.563345,McDonald's
38.798155187,-90.618679,McDonald's
38.794365188,-90.623212,McDonald's
38.790963189,-90.60576,McDonald's
38.760143190,-90.653145,McDonald's
38.771232191,-93.735356,McDonald's
38.779285192,-93.737229,McDonald's
36.74057193,-91.870706,McDonald's
36.714687194,-91.874536,McDonald's
36.985829195,-91.976098,McDonald's
36.995005196,-91.966163,McDonald's
38.950278197,-92.327397,Panera Bread
